Property Type,Property Name,Property Description,Property Value Type,Property Schema Status,Property First Seen,Property Last Seen
User Property,experiment: Dynamic Contact Sales,,any,LIVE,2019-04-04,2025-06-07
User Property,experiment: Dynamic Contact Sales (local),,any,LIVE,,
User Property,experiment: Dynamic Contact Sales 1.1,,any,LIVE,2019-04-09,2025-06-07
User Property,experiment: exec friendly homepage exp (/* set cookie) v0,,any,LIVE,2019-08-21,2025-06-07
User Property,experiment: exec friendly homepage exp v0,,any,LIVE,2019-08-21,2025-06-07
User Property,experiment: Growth Engine Video Test,,any,LIVE,2019-05-21,2025-06-07
User Property,experiment: Home Page Redirect test,,any,LIVE,2020-04-08,2025-06-07
User Property,experiment: Homepage Demo CTA,,any,LIVE,2019-02-09,2025-06-07
User Property,experiment: Homepage Demo CTA v0.1,,any,LIVE,2019-06-04,2025-06-07
User Property,experiment: Latency Test,,any,LIVE,2020-04-03,2024-08-14
User Property,experiment: new-org-activation-form,,any,LIVE,2021-07-21,2025-06-04
User Property,experiment: Retain Homepage Experiment,,any,LIVE,2020-04-09,2025-06-07
User Property,experiment: Simplified Homepage,,any,LIVE,2019-07-03,2025-06-07
User Property,experiment: Simplified Homepage (local),,any,LIVE,,
User Property,experiment: simplified homepage v0.1,,any,LIVE,2019-07-11,2025-06-07
User Property,experiment: simplified homepage v0.2,,any,LIVE,2019-07-24,2025-06-07
User Property,experiment: simplified homepage v0.2 (local),,any,LIVE,2019-08-09,2024-09-30
User Property,experimentId,,any,LIVE,,
User Property,fbclid,,,UNEXPECTED,2022-10-13,2025-06-07
User Property,gbraid,,,UNEXPECTED,2023-04-21,2025-06-07
User Property,gclid,,any,LIVE,2018-07-04,2025-06-07
User Property,gender,,any,LIVE,2021-07-28,2021-08-10
User Property,global:[Experiment] feature-exp-product-page_10292024,,,UNEXPECTED,2024-10-29,2025-06-06
User Property,global:[Experiment] q125-blog-conversion-drivers-sidepanel-cta,,,UNEXPECTED,2025-04-01,2025-06-06
User Property,global:[Experiment] q424-ai-generated-headlines-on-get-started,,,UNEXPECTED,2024-11-06,2025-06-06
User Property,global:[Experiment] q424-explore-demo-cta,,,UNEXPECTED,2024-09-19,2025-06-07
User Property,global:[Experiment] q424-request-a-demo-experiment,,,UNEXPECTED,2024-10-29,2025-06-07
User Property,global:[Experiment] redirect-web-experiement,,,UNEXPECTED,2024-08-20,2024-08-27
User Property,global:[Experiment] request-a-demo-form-cta,,,UNEXPECTED,2024-10-28,2025-06-06
User Property,global:[Experiment] test-experiment-page,,,UNEXPECTED,2024-08-20,2024-10-16
User Property,global:[Experiment] test-experiment-web-sanity-override,,,UNEXPECTED,2024-08-20,2024-08-20
User Property,global:[Experiment] web-ex-redir-test,,,UNEXPECTED,2024-08-20,2024-08-21
User Property,global:[Experiment] web-experiment-page-test,,,UNEXPECTED,2024-11-02,2025-06-06
User Property,global:[Experiment] xyztesting123-web-experiment,,,UNEXPECTED,2024-09-04,2024-09-04
User Property,global:dclid,,,UNEXPECTED,2024-03-02,2025-04-16
User Property,global:fbclid,,,UNEXPECTED,2024-01-24,2025-06-04
User Property,global:gbraid,,,UNEXPECTED,2024-01-27,2025-06-07
User Property,global:gclid,,,UNEXPECTED,2024-01-24,2025-06-07
User Property,global:initial_dclid,,,UNEXPECTED,2024-01-24,2025-06-07
User Property,global:initial_fbclid,,,UNEXPECTED,2024-01-24,2025-06-07
User Property,global:initial_gbraid,,,UNEXPECTED,2024-01-24,2025-06-07
User Property,global:initial_gclid,,,UNEXPECTED,2024-01-24,2025-06-07
User Property,global:initial_ko_click_id,,,UNEXPECTED,2024-01-24,2025-06-07
User Property,global:initial_li_fat_id,,,UNEXPECTED,2024-01-24,2025-06-07
User Property,global:initial_msclkid,,,UNEXPECTED,2024-01-24,2025-06-07
User Property,global:initial_referrer,,,UNEXPECTED,2024-01-24,2025-06-07
User Property,global:initial_referring_domain,,,UNEXPECTED,2024-01-24,2025-06-07
User Property,global:initial_rtd_cid,,,UNEXPECTED,2024-01-24,2025-06-07
User Property,global:initial_ttclid,,,UNEXPECTED,2024-01-24,2025-06-07
User Property,global:initial_twclid,,,UNEXPECTED,2024-01-24,2025-06-07
User Property,global:initial_utm_campaign,,,UNEXPECTED,2024-01-24,2025-06-07
User Property,global:initial_utm_content,,,UNEXPECTED,2024-01-24,2025-06-07
User Property,global:initial_utm_id,,,UNEXPECTED,2024-01-24,2025-06-07
User Property,global:initial_utm_medium,,,UNEXPECTED,2024-01-24,2025-06-07
User Property,global:initial_utm_source,,,UNEXPECTED,2024-01-24,2025-06-07
User Property,global:initial_utm_term,,,UNEXPECTED,2024-01-24,2025-06-07
User Property,global:initial_wbraid,,,UNEXPECTED,2024-01-24,2025-06-07
User Property,global:ko_click_id,,,UNEXPECTED,2025-01-29,2025-01-29
User Property,global:li_fat_id,,,UNEXPECTED,2024-01-25,2025-06-07
User Property,global:msclkid,,,UNEXPECTED,2024-02-05,2025-05-18
User Property,global:referrer,,,UNEXPECTED,2024-01-24,2025-06-07
User Property,global:referring_domain,,,UNEXPECTED,2024-01-24,2025-06-07
User Property,global:rtd_cid,,,UNEXPECTED,2024-11-03,2025-01-29
User Property,global:ttclid,,,UNEXPECTED,2024-03-31,2025-05-20
User Property,global:twclid,,,UNEXPECTED,2024-03-02,2025-05-19
User Property,global:utm_campaign,,,UNEXPECTED,2024-01-24,2025-06-07
User Property,global:utm_content,,,UNEXPECTED,2024-01-24,2025-06-07
User Property,global:utm_id,,,UNEXPECTED,2024-01-25,2025-05-30
User Property,global:utm_medium,,,UNEXPECTED,2024-01-24,2025-06-07
User Property,global:utm_source,,,UNEXPECTED,2024-01-24,2025-06-07
User Property,global:utm_term,,,UNEXPECTED,2024-01-24,2025-06-07
User Property,global:wbraid,,,UNEXPECTED,2024-01-24,2025-05-29
User Property,has_seen_pricing,,any,LIVE,,
User Property,has_viewed_pricing,,any,LIVE,2019-04-08,2025-06-06
User Property,initial_dclid,,,UNEXPECTED,2022-10-05,2025-06-07
User Property,initial_fbclid,,,UNEXPECTED,2022-10-05,2025-06-07
User Property,initial_gbraid,,,UNEXPECTED,2022-10-05,2025-06-07
User Property,initial_gclid,,any,LIVE,2018-07-04,2025-06-07
User Property,initial_ko_click_id,,,UNEXPECTED,2022-10-05,2025-06-07
User Property,initial_li_fat_id,,,UNEXPECTED,2023-05-15,2025-06-07
User Property,initial_msclkid,,,UNEXPECTED,2022-10-05,2025-06-07
User Property,initial_referrer,,any,LIVE,2018-06-29,2025-06-07
User Property,initial_referrer.flow.source.meta,,,UNEXPECTED,2023-05-10,2023-05-10
User Property,initial_referrer.flow.strict,,,UNEXPECTED,2023-05-10,2023-05-10
User Property,initial_referrer.flow.value,,,UNEXPECTED,2023-05-10,2023-05-10
User Property,initial_referring_domain,,any,LIVE,2018-06-29,2025-06-07
User Property,initial_rtd_cid,,,UNEXPECTED,2023-05-15,2025-06-07
User Property,initial_ttclid,,,UNEXPECTED,2022-10-05,2025-06-07
User Property,initial_twclid,,,UNEXPECTED,2022-10-05,2025-06-07
User Property,initial_utm_campaign,,any,LIVE,2018-06-30,2025-06-07
User Property,initial_utm_content,,any,LIVE,2018-07-04,2025-06-07
User Property,initial_utm_id,,,UNEXPECTED,2022-11-28,2025-06-07
User Property,initial_utm_medium,,any,LIVE,2018-06-30,2025-06-07
User Property,initial_utm_source,,any,LIVE,2018-06-30,2025-06-07
User Property,initial_utm_term,,any,LIVE,2018-07-04,2025-06-07
User Property,initial_wbraid,,,UNEXPECTED,2022-10-05,2025-06-07
User Property,interests,,any,LIVE,2021-07-28,2021-08-10
User Property,is bot,,boolean,LIVE,2021-01-05,2025-06-07
User Property,language,,string,LIVE,2021-01-04,2025-06-07
User Property,Language,,any,LIVE,,
User Property,Last Campaign,,any,LIVE,2018-12-24,2025-06-07
User Property,Last Lead Source,,any,LIVE,2018-12-24,2025-06-07
User Property,Lead Account Name,,any,LIVE,2018-12-19,2025-05-27
User Property,Lead Company,,any,LIVE,2018-12-19,2025-06-07
User Property,Lead Customer Fit Score,,any,LIVE,2018-12-19,2025-02-03
User Property,Lead Customer Fit Segment,,any,LIVE,2018-12-19,2025-02-03
User Property,Lead Id,,any,LIVE,2019-03-27,2025-06-07
User Property,Lead MadKudu Fit Score,,any,LIVE,2018-12-24,2025-06-07
User Property,Lead MadKudu Fit Segment,,any,LIVE,2018-12-24,2025-06-07
User Property,Lead Market Segment,,any,LIVE,2018-12-19,2025-06-07
User Property,Lead Name,,any,LIVE,2018-12-19,2025-06-07
User Property,Lead Owner Email,,any,LIVE,2018-12-19,2025-06-07
User Property,Lead Owner Name,,any,LIVE,2018-12-19,2025-06-07
User Property,Lead Region,,any,LIVE,2018-12-19,2025-06-07
User Property,Lead Source,,any,LIVE,2018-12-24,2025-06-07
User Property,li_fat_id,,,UNEXPECTED,2023-05-23,2025-06-07
User Property,madkudu - customer fit segment,,any,LIVE,2019-03-28,2025-06-07
User Property,MadKudu Lead Grade Score,,any,LIVE,2019-01-29,2025-06-07
User Property,MadKudu Lead Grade Segment,,any,LIVE,2019-01-29,2025-06-07
User Property,MadKudu Likelihood to Buy Score,,any,LIVE,2019-01-29,2025-06-07
User Property,MadKudu Likelihood to Buy Segment,,any,LIVE,2019-01-29,2025-06-07
User Property,madkudu_anonymous_customer_fit,,any,LIVE,2019-03-01,2025-06-07
User Property,madkudu_anonymous_customer_fit_parent_domain,,any,LIVE,2019-03-14,2025-06-06
User Property,msclkid,,,UNEXPECTED,2022-10-12,2025-05-18
User Property,number array prop example,,any,LIVE,2021-10-05,2021-10-05
User Property,number prop example,,any,LIVE,2021-10-05,2021-10-05
User Property,page title,,string,LIVE,2021-01-04,2025-06-07
User Property,Page Title,,any,LIVE,,
User Property,partnerstack partner key,,string,LIVE,2024-10-29,2025-06-07
User Property,pixel density,,string,LIVE,2021-01-04,2025-06-07
User Property,Pixel Density,,any,LIVE,,
User Property,Previous Contact Converted From Lead,,any,LIVE,2019-05-21,2025-03-29
User Property,Previous Current Lead Status,,any,LIVE,2019-05-03,2025-06-07
User Property,Previous Current Opportunity Name,,any,LIVE,2019-05-06,2025-06-07
User Property,Previous Current Opportunity Stage,,any,LIVE,2019-05-04,2025-06-07
User Property,Previous Last Campaign,,any,LIVE,2019-05-03,2025-06-07
User Property,Previous Last Lead Source,,any,LIVE,2019-05-03,2025-06-07
User Property,Previous Lead Company,,any,LIVE,2019-05-03,2025-06-07
User Property,Previous Lead MadKudu Fit Score,,any,LIVE,2019-05-03,2025-06-07
User Property,Previous Lead MadKudu Fit Segment,,any,LIVE,2019-05-03,2025-06-07
User Property,Previous Lead Market Segment,,any,LIVE,2019-05-03,2025-06-06
User Property,Previous Lead Region,,any,LIVE,2019-05-03,2025-06-07
User Property,Previous Lead Source,,any,LIVE,2019-05-03,2025-06-07
User Property,Previous MadKudu Lead Grade Score,,any,LIVE,2019-05-04,2025-06-07
User Property,Previous MadKudu Lead Grade Segment,,any,LIVE,2019-05-04,2025-06-07
User Property,Previous MadKudu Likelihood to Buy Score,,any,LIVE,2019-05-04,2025-06-07
User Property,Previous MadKudu Likelihood to Buy Segment,,any,LIVE,2019-05-04,2025-06-07
User Property,recaptcha v3 score,,any,LIVE,2019-09-05,2025-06-07
User Property,referrer,,any,LIVE,2018-06-29,2025-06-07
User Property,referring_domain,,any,LIVE,2018-06-29,2025-06-07
User Property,resolution height,,number,LIVE,2019-07-11,2025-06-07
User Property,resolution width,,number,LIVE,2019-07-11,2025-06-07
User Property,rtd_cid,,,UNEXPECTED,2024-11-03,2025-01-29
User Property,Salesforce Object Type,,any,LIVE,2018-12-24,2025-06-07
User Property,string array prop example,,any,LIVE,2021-10-05,2021-10-05
User Property,string prop example,,any,LIVE,2021-10-05,2021-10-05
User Property,Task Account Name,,any,LIVE,2019-05-03,2025-06-07
User Property,timezone,,string,LIVE,2021-01-04,2025-06-07
User Property,Timezone,,any,LIVE,,
User Property,timezone offset,,string,LIVE,2021-01-04,2025-06-07
User Property,Timezone Offset,,any,LIVE,,
User Property,traffic source,,any,LIVE,2021-01-04,2025-06-07
User Property,ttclid,,,UNEXPECTED,2024-03-31,2025-05-20
User Property,twclid,,,UNEXPECTED,2023-03-03,2025-05-19
User Property,user_prop1,,any,LIVE,,
User Property,utm_campaign,,any,LIVE,2018-06-30,2025-06-07
User Property,utm_content,,any,LIVE,2018-07-04,2025-06-07
User Property,utm_id,,string,LIVE,2022-11-30,2025-06-07
User Property,utm_medium,,any,LIVE,2018-06-30,2025-06-07
User Property,utm_source,,any,LIVE,2018-06-30,2025-06-07
User Property,utm_term,,any,LIVE,2018-07-04,2025-06-07
User Property,viewed_contact_sales,,any,LIVE,,
User Property,viewed_pricing,,any,LIVE,,
User Property,viewed_pricing_page,,any,LIVE,,
User Property,viewport height,,number,LIVE,2021-01-04,2025-06-07
User Property,Viewport Height,,any,LIVE,,
User Property,viewport width,,number,LIVE,2021-01-04,2025-06-07
User Property,Viewport Width,,any,LIVE,,
User Property,wbraid,,,UNEXPECTED,2022-10-14,2025-06-06
